time,H1,AVG_H1
2026-09-23 09:19:00,78,78
2026-09-23 09:26:09,64,71
2026-09-23 09:36:39,50,64
2026-09-23 09:52:50,33,56
2026-09-23 10:05:47,57,56
2026-09-23 10:17:37,53,56
2026-09-23 10:27:03,73,58
2026-09-23 10:39:24,90,62
2026-09-23 10:53:12,93,66
2026-09-23 11:05:02,83,67
2026-09-23 11:16:26,95,70
2026-09-23 11:25:21,89,72
2026-09-23 11:38:31,90,73
2026-09-23 11:58:46,77,73
2026-09-23 12:16:23,83,74
2026-09-23 12:29:15,82,74
2026-09-23 12:43:59,76,74
2026-09-23 12:59:02,70,74
