Strike price,09:19,09:25,09:35,09:45,09:55,10:05,10:15,10:25,10:35,10:45,10:55,11:05,11:15,11:25,11:35,11:45,11:55,12:05,12:33,12:55,13:05,13:27,13:37,13:47,13:57,14:07,14:16,14:20,14:29,14:46,15:03,15:16
22200,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
22250,0,3,5,7,6,7,9,9,9,8,8,8,6,6,8,8,8,9,10,10,10,10,6,6,6,6,6,6,4,3,0,-1
22300,0,-1,0,0,0,0,1,1,1,0,0,0,-1,-1,-1,-1,-1,0,1,-2,-2,-1,-2,-1,-1,-1,-1,-1,-2,-2,-3,-3
22350,0,0,1,1,1,2,4,5,5,5,5,4,2,2,2,2,3,3,4,4,4,5,3,3,3,3,3,3,3,2,1,3
22400,0,0,0,1,0,0,1,1,1,0,0,0,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3
22450,-1,-1,-1,0,0,1,2,3,3,3,2,1,1,1,1,1,1,1,3,3,3,2,0,-1,-1,0,0,0,0,0,-2,-2
22500,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2
22550,-1,0,3,3,4,5,5,6,5,4,4,4,3,1,1,1,1,0,0,1,-1,-2,-3,-3,-3,-3,-3,-3,-3,-9,-8,-7
22600,0,2,2,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,-1,-1,0
22650,0,-1,0,1,1,1,4,5,6,6,5,5,4,3,4,4,5,4,6,5,5,4,3,3,2,3,3,3,3,2,2,2
22700,0,0,0,0,1,1,0,-1,-1,0,0,-1,-1,-1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,1,1,1
22750,2,3,4,4,5,6,7,7,7,7,7,6,6,7,6,7,7,8,10,10,10,9,9,9,9,8,9,9,9,9,4,5
22800,-1,0,1,0,-1,-2,-1,-1,-2,-1,-1,-1,-3,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2
22850,0,2,2,4,3,3,3,4,5,5,5,5,3,3,4,2,2,3,4,4,4,4,2,2,2,4,3,3,3,2,1,1
22900,3,3,3,-1,-2,0,-1,-1,-1,-2,-2,-2,-4,-3,-3,-3,-3,-1,-1,-1,-1,-1,-2,-1,-1,-1,-2,-2,-3,-3,-2,-2
22950,1,3,2,3,1,2,6,3,2,0,0,0,-2,-2,-2,-1,-1,1,2,2,1,1,-1,-3,-3,-3,-2,-2,0,0,0,0
23000,0,0,0,0,-1,0,1,0,0,0,-1,-1,-3,-2,-2,-1,-1,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23050,0,0,-1,-1,-3,-2,0,0,0,-1,-2,-3,-7,-6,-6,-6,-5,-3,-2,-2,-1,-2,-6,-6,-6,-6,-5,-5,-4,-3,-2,1
23100,0,0,1,2,1,3,4,4,4,4,3,2,-1,0,0,1,2,4,7,7,7,6,3,2,2,2,2,2,3,4,3,3
23150,-1,-2,-1,0,-1,3,6,6,6,5,3,2,-3,-2,-1,0,0,4,6,6,6,6,2,2,2,2,2,2,2,3,3,3
23200,0,1,0,2,0,2,5,6,5,4,3,3,-3,-1,-1,1,2,5,8,8,8,8,3,3,3,3,3,3,3,4,3,3
23250,-1,0,0,1,-1,2,7,8,7,6,4,3,-5,-3,-3,-2,0,6,11,11,11,11,4,2,2,2,2,3,3,3,4,4
23300,0,1,1,4,0,4,10,11,9,7,4,3,-5,-5,-5,-4,0,8,20,23,23,20,8,5,4,3,2,3,3,5,6,7
23350,-1,0,0,0,-3,1,8,8,5,1,-2,-3,-11,-10,-9,-9,-6,4,30,34,35,27,6,2,1,-1,-2,-2,-1,-4,-3,-2
23400,0,-1,-1,-1,-1,-1,1,1,0,-1,-2,-2,-5,-4,-4,-4,-4,-2,2,4,4,2,-2,-3,-3,-4,-4,-4,-3,-3,-3,-3
23450,0,0,0,1,0,1,3,4,3,2,1,0,-3,-3,-4,-3,-2,1,6,7,7,5,-1,-1,-1,-2,-2,-2,-2,-2,-2,-6
23500,0,0,-1,-1,-2,-1,0,0,-1,-1,-2,-2,-3,-2,-3,-2,-2,0,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
23550,-2,1,-1,-4,-4,-3,0,1,2,2,1,0,-2,-2,-2,-2,-1,1,7,8,8,7,2,2,2,2,2,2,2,3,2,1
23600,0,-2,-3,-2,-3,-3,-2,-3,-4,-5,-5,-5,-5,-5,-5,-5,-5,-6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
23650,0,-2,-4,-3,-5,-5,-6,-6,-6,-6,-7,-6,-6,-6,-7,-6,-6,-5,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-3,-3
23700,0,-1,-1,-1,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-4,-3,-3,-3,-4,-4,-4,-4,-4,-5,-5,-5,-5,-4,-5
23750,0,0,0,-1,-1,-1,-1,-1,-1,-2,-3,-3,-4,-4,-4,-4,-4,-4,-4,-3,-3,-4,-5,-6,-6,-6,-6,-6,-6,-6,-6,-6
23800,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-4
23850,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
23900,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3
