Strike price,09:23,09:29
22500,-1,-1
22550,-1,-1
22600,-1,-2
22650,-1,-1
22700,0,0
22750,1,1
22800,0,0
22850,2,5
22900,1,1
22950,2,2
23000,1,2
23050,0,1
23100,1,1
23150,1,2
23200,2,3
23250,2,2
23300,1,2
23350,0,-1
23400,0,0
23450,-5,-5
23500,-4,-4
23550,5,6
23600,6,9
23650,2,5
23700,0,0
23750,-2,-3
23800,-2,-1
23850,-3,-5
23900,-1,-1
23950,-9,-11
24000,-3,-5
24050,-2,-3
24100,-1,-2
24150,-5,-6
24200,-1,-1
24250,-2,-3
24300,-1,-1
24350,-1,1
24400,1,0
24450,-6,-6
