Strike price,09:24,09:27,09:30,09:31,09:39,09:44,09:47,09:57,10:01,10:10,10:13,10:23,10:25
22050,2,2,2,2,3,3,3,3,3,2,2,2,2
22100,3,4,5,6,6,5,5,7,7,7,7,6,7
22150,3,3,3,3,5,6,7,7,8,7,7,21,21
22200,1,2,2,2,3,3,3,3,3,3,3,3,3
22250,1,2,2,7,5,3,4,4,4,4,4,4,4
22300,0,0,1,1,1,1,1,2,2,3,3,3,3
22350,5,5,5,5,5,5,5,5,6,7,7,6,6
22400,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1
22450,0,0,0,0,1,1,1,1,1,1,1,1,2
22500,1,1,1,1,1,1,2,2,2,1,1,2,2
22550,3,4,4,4,4,4,4,3,4,4,3,4,4
22600,1,1,1,2,2,3,3,3,3,3,3,3,3
22650,1,1,1,1,1,2,2,2,2,2,2,2,2
22700,1,1,1,1,1,0,0,0,0,-1,0,1,1
22750,2,2,2,3,3,3,3,2,2,2,1,1,1
22800,1,1,1,1,0,-2,-2,-2,-2,-1,0,0,0
22850,1,2,2,3,3,2,2,1,1,2,4,5,6
22900,-5,-4,-4,-3,-3,-5,-6,-7,-7,-7,-5,-8,-7
22950,-2,-2,-2,-1,-2,-4,-5,-8,-9,-7,-5,-3,-3
23000,-1,0,0,1,-1,-3,-4,-4,-4,-4,-2,-1,0
23050,-4,-3,-3,1,0,-2,-8,-9,-9,-9,-6,-1,-1
23100,0,0,0,2,1,-2,-3,-5,-5,-4,-3,0,0
23150,2,3,2,4,3,0,-1,-1,-3,-3,-1,2,2
23200,1,1,1,1,1,1,0,-1,-1,-1,0,0,0
23250,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
23300,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2
23350,-1,-1,-1,-1,-2,-2,-3,-3,-4,-4,-4,-3,-3
23400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1
23450,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2
23500,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23550,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2
23600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23650,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
23700,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23750,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0
23800,0,0,0,0,0,0,0,-1,-1,-2,-2,-2,-2
23850,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
23900,0,0,0,0,0,0,0,0,0,0,0,0,0
23950,0,0,0,0,0,0,0,0,0,0,0,1,1
24000,0,0,0,0,1,1,1,1,1,1,1,1,1
